URL Source,News Title,News Date,News Image,News Study Time
https://www.zoomit.ir/search/news/,بخش News فیسبوک تعطیل می‌شود,11 اسفند 02,https://api2.zoomit.ir/media/facebook-65bf98eead00028634ae717d?w=1920&q=75,مطالعه '1
https://www.zoomit.ir/search/news/,زوم‌اَپ: با News Republic اخبار را هوشمندانه دنبال کنید,11 مهر 93,https://api2.zoomit.ir/media/ex-Cover-88dafd0d4fa4e6c5d28c7ff83f4edc54_XL-638b284f027938d459979f24?w=1920&q=75,مطالعه '2
https://www.zoomit.ir/search/news/,مشکل برخی کاربران فیسبوک در مشاهده News Feed,7 اردیبهشت 93,https://api2.zoomit.ir/media/ex-Cover-cab01dbcd7b3cadc4843602d73b1ee88_XL-638b261d8c5d7345c51df85d?w=1920&q=75,مطالعه '1
https://www.zoomit.ir/search/news/,مایکروسافت هوش مصنوعی را جایگزین سردبیران خود در Microsoft News کرد,10 خرداد 99,https://api2.zoomit.ir/media/2020-5-06642d57-56b0-4250-8373-a207a95399a8-638c62411a3d748c2fbd254a?w=1920&q=75,مطالعه '3
https://www.zoomit.ir/search/news/,مایکروسافت رقیب اپلیکیشن News اپل را برای iOS معرفی کرد,7 بهمن 94,https://api2.zoomit.ir/media/ex-Cover-5f40c3b56f417b4d46e522b8112e243c_XL-638b38fb0c0004ce83d5d21c?w=1920&q=75,مطالعه '2
https://www.zoomit.ir/search/news/,سونی برنامه خبرخوان News Suite را با طراحی جدید منتشر کرد,29 دی 94,https://api2.zoomit.ir/media/ex-Cover-53456a210c2282303295f52af45081a7_XL-638b38cc16701bf52431b4fd?w=1920&q=75,مطالعه '1
https://www.zoomit.ir/search/news/,گوگل نسخه جدید اپلیکیشن News را با تجهیز به هوش مصنوعی معرفی کرد,19 اردیبهشت 97,https://api2.zoomit.ir/media/2018-5-83cacbf6-c36d-4c63-aeb5-6bb778f3e899-638ba49c495859f4e0c2b022?w=1920&q=75,مطالعه '3
https://www.zoomit.ir/search/news/,زوم‌اَپ: msn News، اخبار جهان از کانال مایکروسافت,15 دی 93,https://api2.zoomit.ir/media/ex-Cover-47e550dc783ddff207be5f0781019dcc_XL-638b2a075a465cc613557c52?w=1920&q=75,مطالعه '2
https://www.zoomit.ir/search/news/,اپل اپلیکیشن News را برای نبرد مستقیم با فلیپ‌برد معرفی کرد,18 خرداد 94,https://api2.zoomit.ir/media/ex-Cover-4b304ecda10e52a361cf6e4456cf8d39_XL-638b2c7d027938d45997ddc6?w=1920&q=75,مطالعه '2
https://www.zoomit.ir/search/news/,پژو 208 و 2008؛ بهترین خودروهای سال به انتخاب Fleet News,4 فروردین 99,https://api2.zoomit.ir/media/2020-3-1d32a50e-3b8f-4635-b370-2a6f2dc795e5-638baedbfa7dd26f3fcac0ab?w=1920&q=75,مطالعه '2
https://www.zoomit.ir/search/news/,گوگل شایعه‌ها را تکذیب کرد: فیلتر News از موتور جست‌وجو حذف نمی‌شود,5 اسفند 02,https://api2.zoomit.ir/media/google-search-logo-glasses-dark-shadow-656583478d35dab79ef67c01?w=1920&q=75,مطالعه '1
https://www.zoomit.ir/search/news/,گوگل پشتیبانی از اپل واچ را با اپلیکیشن News and Weather آغاز کرد,23 اردیبهشت 94,https://api2.zoomit.ir/media/ex-Cover-3668a4d7f4e7699a56bbc765c61e4fda_XL-638b2c202806e1a2050ca195?w=1920&q=75,مطالعه '1
https://www.zoomit.ir/search/news/,سونی اپلیکیشن خبرخوان اختصاصی Socialife News را برای تمامی تلفن‌های اندرویدی عرضه نمود,14 اسفند 92,https://api2.zoomit.ir/media/ex-Cover-9906fb10596c2aa66e1dcfa5caa066eb_XL-638b257c027938d459976e2e?w=1920&q=75,مطالعه '2
