Source URL,Product Name,Product Price,Product Score,Product_Image,Product Specifications_1,Product Specifications_2,Product Specifications_3,Product Specifications_4,Product Specifications_5,Product Specifications_6,Product Specifications_7,Product Specifications_8
https://www.zoomit.ir/product/list/wearables/,اپل واچ اولترا,"45,999,000",4.5,https://api2.zoomit.ir/media/638bb8861d67bb742b22c95c?w=1920&q=75,WatchOS , نسخه 9,1.92 اینچ , 502×410 پیکسل,تراشه اپل S8 , حافظه 32 گیگابایت,542 میلی‌آمپر ساعت , لیتیوم یونی
https://www.zoomit.ir/product/list/wearables/,اپل واچ اولترا 2,"43,400,000",4.3,https://api2.zoomit.ir/media/652d20af8716201626d161f8?w=1920&q=75,WatchOS , نسخه 10,1.92 اینچ , 502×410 پیکسل,تراشه اپل S9 , حافظه 64 گیگابایت,542 میلی‌آمپر ساعت , لیتیوم یونی
https://www.zoomit.ir/product/list/wearables/,سامسونگ گلکسی واچ 5 پرو,"10,380,000",4.6,https://api2.zoomit.ir/media/638bb82fb90c494dc77f9884?w=1920&q=75,سیستم‌عامل Wear OS , سازگار با اندروید,1.4 اینچ , 450x450 پیکسل,1.5 گیگابایت رم , Exynos W920,590 میلی‌آمپر ساعت , لیتیوم یونی
https://www.zoomit.ir/product/list/wearables/,شیائومی Mibro Lite2,"1,898,000",4.3,https://api2.zoomit.ir/media/652d051c8716201626d0cdeb?w=1920&q=75,سیستم‌عامل اختصاصی , سازگار با اندروید و iOS,1.3 اینچ , 360×360 پیکسل,بلوتوث 5.1 , حسگر SpO2,350 میلی‌آمپر ساعت , عمر باتری تا 12 روز
https://www.zoomit.ir/product/list/wearables/,شیائومی Mibro T1,"1,319,500",4.5,https://api2.zoomit.ir/media/652d035b8716201626d087f4?w=1920&q=75,سیستم‌عامل اختصاصی , سازگار با اندروید و iOS,1.6 اینچ , 320x360 پیکسل,بلوتوث 5 , حسگر SpO2,350 میلی آمپر ساعت , عمر باتری تا 7 روز
https://www.zoomit.ir/product/list/wearables/,سامسونگ گلکسی واچ 6 کلاسیک 47 میلی‌متری,"11,699,000",4.2,https://api2.zoomit.ir/media/652d1f76eb21a6b54f50e2e0?w=1920&q=75,سیستم‌عامل Wear OS 4 , سازگار با اندروید,1.5 اینچ , 480x480 پیکسل,2 گیگابایت رم , Exynos W930,425 میلی‌آمپر ساعت , لیتیوم یونی
https://www.zoomit.ir/product/list/wearables/,بند 8 شیائومی,"1,419,000",4.2,https://api2.zoomit.ir/media/65740b710107b899a8c048fe?w=1920&q=75,سیستم‌عامل اختصاصی , سازگار با اندروید و iOS,1.62 اینج , AMOLED,بلوتوث , حسگر SpO2,190 میلی‌آمپر ساعت , شارژ کامل در 1 ساعت
https://www.zoomit.ir/product/list/wearables/,سامسونگ گلکسی واچ اولترا,"29,770,000",4.1,https://api2.zoomit.ir/media/668e9cd2772792639decb0a0?w=1920&q=75,سیستم‌عامل Wear OS 5,سازگار با اندروید,1.5 اینچ,480x480 پیکسل,32 گیگابایت حافظه داخلی,Exynos W1000,590 میلی‌آمپر ساعت,لیتیوم یونی
https://www.zoomit.ir/product/list/wearables/,سامسونگ گلکسی واچ 6 کلاسیک 43 میلی‌متری,"10,398,000",4.6,https://api2.zoomit.ir/media/652d1f76eb21a6b54f50e2e0?w=1920&q=75,سیستم‌عامل Wear OS 4 , سازگار با اندروید,1.3 اینچ , 432x432 پیکسل,2 گیگابایت رم , Exynos W930,300 میلی‌آمپر ساعت , لیتیوم یونی
https://www.zoomit.ir/product/list/wearables/,می بند 7 پرو شیائومی,"2,788,500",4.3,https://api2.zoomit.ir/media/652d21beeb21a6b54f51570c?w=1920&q=75,سیستم‌عامل اختصاصی , سازگار با اندروید و iOS,1.64 اینچ , 280x456 پیکسل,بلوتوث 5.2 , حسگر SpO2,235 میلی آمپر ساعت , لیتیوم پلیمری
